//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-22-2015
//--  Time: 15:24
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 94000.0 Ohms 
//--    Temperature2: 50.0(C), 	Resistance 2: 11000.0 Ohms 
//--    Temperature3: 98.0(C), 	Resistance 3: 2370.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
663	168.39	1684 	3.237
664	168.15	1681 	3.242
665	167.90	1679 	3.247
666	167.66	1677 	3.252
667	167.41	1674 	3.257
668	167.17	1672 	3.262
669	166.92	1669 	3.267
670	166.68	1667 	3.271
671	166.43	1664 	3.276
672	166.18	1662 	3.281
673	165.94	1659 	3.286
674	165.69	1657 	3.291
675	165.45	1654 	3.296
676	165.20	1652 	3.301
677	164.95	1650 	3.306
678	164.71	1647 	3.311
679	164.46	1645 	3.315
680	164.21	1642 	3.320
681	163.96	1640 	3.325
682	163.72	1637 	3.330
683	163.47	1635 	3.335
684	163.22	1632 	3.340
685	162.97	1630 	3.345
686	162.73	1627 	3.350
687	162.48	1625 	3.354
688	162.23	1622 	3.359
689	161.98	1620 	3.364
690	161.73	1617 	3.369
691	161.48	1615 	3.374
692	161.23	1612 	3.379
693	160.98	1610 	3.384
694	160.73	1607 	3.389
695	160.48	1605 	3.394
696	160.23	1602 	3.398
697	159.98	1600 	3.403
698	159.73	1597 	3.408
699	159.48	1595 	3.413
700	159.23	1592 	3.418
701	158.98	1590 	3.423
702	158.73	1587 	3.428
703	158.48	1585 	3.433
704	158.22	1582 	3.438
705	157.97	1580 	3.442
706	157.72	1577 	3.447
707	157.47	1575 	3.452
708	157.21	1572 	3.457
709	156.96	1570 	3.462
710	156.71	1567 	3.467
711	156.45	1565 	3.472
712	156.20	1562 	3.477
713	155.95	1559 	3.481
714	155.69	1557 	3.486
715	155.44	1554 	3.491
716	155.18	1552 	3.496
717	154.93	1549 	3.501
718	154.67	1547 	3.506
719	154.42	1544 	3.511
720	154.16	1542 	3.516
721	153.90	1539 	3.521
722	153.65	1536 	3.525
723	153.39	1534 	3.530
724	153.13	1531 	3.535
725	152.88	1529 	3.540
726	152.62	1526 	3.545
727	152.36	1524 	3.550
728	152.10	1521 	3.555
729	151.84	1518 	3.560
730	151.58	1516 	3.564
731	151.33	1513 	3.569
732	151.07	1511 	3.574
733	150.81	1508 	3.579
734	150.55	1505 	3.584
735	150.28	1503 	3.589
736	150.02	1500 	3.594
737	149.76	1498 	3.599
738	149.50	1495 	3.604
739	149.24	1492 	3.608
740	148.98	1490 	3.613
741	148.71	1487 	3.618
742	148.45	1485 	3.623
743	148.19	1482 	3.628
744	147.92	1479 	3.633
745	147.66	1477 	3.638
746	147.40	1474 	3.643
747	147.13	1471 	3.647
748	146.86	1469 	3.652
749	146.60	1466 	3.657
750	146.33	1463 	3.662
751	146.07	1461 	3.667
752	145.80	1458 	3.672
753	145.53	1455 	3.677
754	145.27	1453 	3.682
755	145.00	1450 	3.687
756	144.73	1447 	3.691
757	144.46	1445 	3.696
758	144.19	1442 	3.701
759	143.92	1439 	3.706
760	143.65	1437 	3.711
761	143.38	1434 	3.716
762	143.11	1431 	3.721
763	142.84	1428 	3.726
764	142.57	1426 	3.730
765	142.29	1423 	3.735
766	142.02	1420 	3.740
767	141.75	1417 	3.745
768	141.47	1415 	3.750
769	141.20	1412 	3.755
770	140.92	1409 	3.760
771	140.65	1406 	3.765
772	140.37	1404 	3.770
773	140.10	1401 	3.774
774	139.82	1398 	3.779
775	139.54	1395 	3.784
776	139.26	1393 	3.789
777	138.99	1390 	3.794
778	138.71	1387 	3.799
779	138.43	1384 	3.804
780	138.15	1381 	3.809
781	137.87	1379 	3.813
782	137.59	1376 	3.818
783	137.31	1373 	3.823
784	137.02	1370 	3.828
785	136.74	1367 	3.833
786	136.46	1365 	3.838
787	136.17	1362 	3.843
788	135.89	1359 	3.848
789	135.60	1356 	3.853
790	135.32	1353 	3.857
791	135.03	1350 	3.862
792	134.75	1347 	3.867
793	134.46	1345 	3.872
794	134.17	1342 	3.877
795	133.88	1339 	3.882
796	133.59	1336 	3.887
797	133.30	1333 	3.892
798	133.01	1330 	3.896
799	132.72	1327 	3.901
800	132.43	1324 	3.906
801	132.14	1321 	3.911
802	131.84	1318 	3.916
803	131.55	1315 	3.921
804	131.25	1313 	3.926
805	130.96	1310 	3.931
806	130.66	1307 	3.936
807	130.37	1304 	3.940
808	130.07	1301 	3.945
809	129.77	1298 	3.950
810	129.47	1295 	3.955
811	129.17	1292 	3.960
812	128.87	1289 	3.965
813	128.57	1286 	3.970
814	128.27	1283 	3.975
815	127.97	1280 	3.979
816	127.66	1277 	3.984
817	127.36	1274 	3.989
818	127.05	1271 	3.994
819	126.75	1267 	3.999
820	126.44	1264 	4.004
821	126.13	1261 	4.009
822	125.82	1258 	4.014
823	125.52	1255 	4.019
824	125.21	1252 	4.023
825	124.89	1249 	4.028
826	124.58	1246 	4.033
827	124.27	1243 	4.038
828	123.96	1240 	4.043
829	123.64	1236 	4.048
830	123.33	1233 	4.053
831	123.01	1230 	4.058
832	122.69	1227 	4.063
833	122.37	1224 	4.067
834	122.06	1221 	4.072
835	121.74	1217 	4.077
836	121.41	1214 	4.082
837	121.09	1211 	4.087
838	120.77	1208 	4.092
839	120.44	1204 	4.097
840	120.12	1201 	4.102
841	119.79	1198 	4.106
842	119.47	1195 	4.111
843	119.14	1191 	4.116
844	118.81	1188 	4.121
845	118.48	1185 	4.126
846	118.15	1181 	4.131
847	117.81	1178 	4.136
848	117.48	1175 	4.141
849	117.14	1171 	4.146
850	116.81	1168 	4.150
851	116.47	1165 	4.155
852	116.13	1161 	4.160
853	115.79	1158 	4.165
854	115.45	1155 	4.170
855	115.11	1151 	4.175
856	114.77	1148 	4.180
857	114.42	1144 	4.185
858	114.08	1141 	4.189
859	113.73	1137 	4.194
860	113.38	1134 	4.199
861	113.03	1130 	4.204
862	112.68	1127 	4.209
863	112.33	1123 	4.214
864	111.97	1120 	4.219
865	111.62	1116 	4.224
866	111.26	1113 	4.229
867	110.90	1109 	4.233
868	110.54	1105 	4.238
869	110.18	1102 	4.243
870	109.82	1098 	4.248
871	109.45	1095 	4.253
872	109.09	1091 	4.258
873	108.72	1087 	4.263
874	108.35	1084 	4.268
875	107.98	1080 	4.272
876	107.61	1076 	4.277
877	107.24	1072 	4.282
878	106.86	1069 	4.287
879	106.48	1065 	4.292
880	106.10	1061 	4.297
881	105.72	1057 	4.302
882	105.34	1053 	4.307
883	104.96	1050 	4.312
