//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 7-11-2014
//--  Time: 21:16
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:10, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
606	15.92	159 	2.959
607	15.93	159 	2.964
608	15.94	159 	2.969
609	15.95	159 	2.974
610	15.96	160 	2.979
611	15.97	160 	2.983
612	15.98	160 	2.988
613	15.99	160 	2.993
614	16.00	160 	2.998
615	16.01	160 	3.003
616	16.02	160 	3.008
617	16.03	160 	3.013
618	16.04	160 	3.018
619	16.04	160 	3.022
620	16.05	161 	3.027
621	16.06	161 	3.032
622	16.07	161 	3.037
623	16.08	161 	3.042
624	16.09	161 	3.047
625	16.10	161 	3.052
626	16.11	161 	3.057
627	16.12	161 	3.062
628	16.13	161 	3.066
629	16.14	161 	3.071
630	16.15	162 	3.076
631	16.16	162 	3.081
632	16.17	162 	3.086
633	16.18	162 	3.091
634	16.19	162 	3.096
635	16.20	162 	3.101
636	16.21	162 	3.105
637	16.22	162 	3.110
638	16.23	162 	3.115
639	16.24	162 	3.120
640	16.25	163 	3.125
641	16.26	163 	3.130
642	16.27	163 	3.135
643	16.28	163 	3.140
644	16.29	163 	3.145
645	16.30	163 	3.149
646	16.31	163 	3.154
647	16.32	163 	3.159
648	16.33	163 	3.164
649	16.34	163 	3.169
650	16.35	163 	3.174
651	16.36	164 	3.179
652	16.37	164 	3.184
653	16.38	164 	3.188
654	16.39	164 	3.193
655	16.40	164 	3.198
656	16.41	164 	3.203
657	16.42	164 	3.208
658	16.43	164 	3.213
659	16.44	164 	3.218
660	16.45	164 	3.223
661	16.46	165 	3.228
662	16.46	165 	3.232
663	16.47	165 	3.237
664	16.48	165 	3.242
665	16.49	165 	3.247
666	16.50	165 	3.252
667	16.51	165 	3.257
668	16.52	165 	3.262
669	16.53	165 	3.267
670	16.54	165 	3.271
671	16.55	166 	3.276
672	16.56	166 	3.281
673	16.57	166 	3.286
674	16.58	166 	3.291
675	16.59	166 	3.296
676	16.60	166 	3.301
677	16.61	166 	3.306
678	16.62	166 	3.311
679	16.63	166 	3.315
680	16.64	166 	3.320
681	16.65	167 	3.325
682	16.66	167 	3.330
683	16.67	167 	3.335
684	16.68	167 	3.340
685	16.69	167 	3.345
686	16.70	167 	3.350
687	16.71	167 	3.354
688	16.72	167 	3.359
689	16.73	167 	3.364
690	16.74	167 	3.369
691	16.75	167 	3.374
692	16.76	168 	3.379
693	16.77	168 	3.384
694	16.78	168 	3.389
695	16.79	168 	3.394
696	16.80	168 	3.398
697	16.81	168 	3.403
698	16.82	168 	3.408
699	16.83	168 	3.413
700	16.84	168 	3.418
701	16.85	168 	3.423
702	16.86	169 	3.428
703	16.87	169 	3.433
704	16.88	169 	3.438
705	16.88	169 	3.442
706	16.89	169 	3.447
707	16.90	169 	3.452
708	16.91	169 	3.457
709	16.92	169 	3.462
710	16.93	169 	3.467
711	16.94	169 	3.472
712	16.95	170 	3.477
713	16.96	170 	3.481
714	16.97	170 	3.486
715	16.98	170 	3.491
716	16.99	170 	3.496
717	17.00	170 	3.501
718	17.01	170 	3.506
719	17.02	170 	3.511
720	17.03	170 	3.516
721	17.04	170 	3.521
722	17.05	171 	3.525
723	17.06	171 	3.530
724	17.07	171 	3.535
725	17.08	171 	3.540
726	17.09	171 	3.545
727	17.10	171 	3.550
728	17.11	171 	3.555
729	17.12	171 	3.560
730	17.13	171 	3.564
731	17.14	171 	3.569
732	17.15	171 	3.574
733	17.16	172 	3.579
734	17.17	172 	3.584
735	17.18	172 	3.589
736	17.19	172 	3.594
737	17.20	172 	3.599
738	17.21	172 	3.604
739	17.22	172 	3.608
740	17.23	172 	3.613
741	17.24	172 	3.618
742	17.25	172 	3.623
743	17.26	173 	3.628
744	17.27	173 	3.633
745	17.28	173 	3.638
746	17.29	173 	3.643
747	17.29	173 	3.647
748	17.30	173 	3.652
749	17.31	173 	3.657
750	17.32	173 	3.662
751	17.33	173 	3.667
752	17.34	173 	3.672
753	17.35	174 	3.677
754	17.36	174 	3.682
755	17.37	174 	3.687
756	17.38	174 	3.691
757	17.39	174 	3.696
758	17.40	174 	3.701
759	17.41	174 	3.706
760	17.42	174 	3.711
761	17.43	174 	3.716
762	17.44	174 	3.721
763	17.45	175 	3.726
764	17.46	175 	3.730
765	17.47	175 	3.735
766	17.48	175 	3.740
767	17.49	175 	3.745
768	17.50	175 	3.750
769	17.51	175 	3.755
770	17.52	175 	3.760
771	17.53	175 	3.765
772	17.54	175 	3.770
773	17.55	175 	3.774
774	17.56	176 	3.779
775	17.57	176 	3.784
776	17.58	176 	3.789
777	17.59	176 	3.794
778	17.60	176 	3.799
779	17.61	176 	3.804
780	17.62	176 	3.809
781	17.63	176 	3.813
782	17.64	176 	3.818
783	17.65	176 	3.823
784	17.66	177 	3.828
785	17.67	177 	3.833
786	17.68	177 	3.838
787	17.69	177 	3.843
